Name	SMILE
CHEMBL331763	 CC(O)C(O)NC1=CC=CC(NC(=O)NC2C(=O)N(CC34C[C@H]5C[C@H](C[C@H](C5)C3)C4)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL331971	 CC(C)(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2F)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL331929	 O=C(NC1C(=O)N(CCC2=CC=CC=C2)C2=CC=CC=C2N(C2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL101125	 CC(C)CCN1C2=CC(Cl)=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL317081	 CC(C)CCN1C2=CC(F)=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL332646	 CC(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2F)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL320141	 FC1=CC=C(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)C3=CC=CC=C3N(C3CCCCC3)C2=O)C=C1
CHEMBL95200	 FC1=CC=C(NC(=O)N[C@H]2C(=O)N(CC(=O)N3CCCC3)C3=CC=CC=C3N(C3CCCCCC3)C2=O)C=C1
CHEMBL103968	 CC(C)CCN1C2=CC=C(Cl)C=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL319795	 CC(C)CCN1C2=CC=C(F)C=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL321761	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL1808422	 CCN(CC)CCN1C2=CC=CC=C2N(CC23CC4CC(CC(C4)C2)C3)C(=O)C(NC(=O)NC2=CC=C(F)C=C2)C1=O
CHEMBL333979	 CC(C)CCN1C2=CC=CC=C2N(C2=CC=CC=C2F)C(=O)C(NC(=O)NC2=CC=CC(=C2)N(C)C)C1=O
CHEMBL345869	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O)C1=CC=C(C=C1)N(C)C
CHEMBL102867	 CC(C)CCN1C2=CC(Cl)=C(Cl)C=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL332568	 CN(C)C1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)(C)C)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)=C1
CHEMBL1808413	 CCN(CC)CCN1C2=CC=CC=C2N(CCC(C)C)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL330773	 CSC1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)(C)C)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL156605	 O=C(CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O)NC1=CC=CC=C1
CHEMBL1808411	 CC(C)CCN1C2=CC=CC=C2N(CCN(C)C)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O
CHEMBL432015	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(C)(NC(=O)NC2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL1808414	 O=C(NC1C(=O)N(CCN2CCOCC2)C2=CC=CC=C2N(CC2CCCCC2)C1=O)NC1=CC=CC=C1
CHEMBL121331	 CSC1=CC=CC(NC(=O)NC2C(=O)N(CCC3CCCC3)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)=C1
CHEMBL443825	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O)C1=CC=C(O)C=C1
CHEMBL345786	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC=C2)C1=O)C1=CC=C(F)C=C1
CHEMBL421575	 FC1=CC=C(NC(=O)NC2C(=O)N(CC(=O)N3CCCC3)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)C=C1
CHEMBL323512	 CC(C)N(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL321321	 CN(C(=O)CN1C2=CC=CC=C2N(C2=CC=CC=C2)C(=O)C(NC(=O)NC2=CC=CC(=C2)C(=O)C2=CC=CC=C2)C1=O)C1=CC=CC=C1
CHEMBL120168	 CC(C)CN1N=NC(=N1)C1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)(C)C)C3=CC=CC=C3N(C3=CC=CC=C3)C2=O)=C1
CHEMBL408915	 CC1=CC=CC(NC(=O)CN2C(=O)N(CC(=O)N3CCCC3)C3=CC=CC=C3N(C3CCCCCC3)C2=O)=C1
CHEMBL332403	 CSC1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)(C)C)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)=C1
CHEMBL331651	 CC(CC1CCCC1)C1=CC=CC2=C1NC(=O)C(NC(=O)NC1=CC=CC=C1)C(=O)N2C1=CC=CC=C1
CHEMBL121021	 CSC1=CC=CC(NC(=O)NC2C(=O)N(CCC(C)C)C3=CC=CC=C3N(C3=CC=CC=C3F)C2=O)=C1
